date,home_team,score,away_team
07-08-2022,Man United,1 - 2,Brighton
13-08-2022,Brighton,0 - 0,Newcastle
21-08-2022,West Ham,0 - 2,Brighton
27-08-2022,Brighton,1 - 0,Leeds
30-08-2022,Fulham,2 - 1,Brighton
04-09-2022,Brighton,5 - 2,Leicester
01-10-2022,Liverpool,3 - 3,Brighton
08-10-2022,Brighton,0 - 1,Tottenham
14-10-2022,Brentford,2 - 0,Brighton
18-10-2022,Brighton,0 - 0,Nott'm Forest
22-10-2022,Man City,3 - 1,Brighton
29-10-2022,Brighton,4 - 1,Chelsea
05-11-2022,Wolves,2 - 3,Brighton
13-11-2022,Brighton,1 - 2,Aston Villa
26-12-2022,Southampton,1 - 3,Brighton
31-12-2022,Brighton,2 - 4,Arsenal
03-01-2023,Everton,1 - 4,Brighton
14-01-2023,Brighton,3 - 0,Liverpool
21-01-2023,Leicester,2 - 2,Brighton
04-02-2023,Brighton,1 - 0,Bournemouth
11-02-2023,Crystal Palace,1 - 1,Brighton
18-02-2023,Brighton,0 - 1,Fulham
04-03-2023,Brighton,4 - 0,West Ham
11-03-2023,Leeds,2 - 2,Brighton
15-03-2023,Brighton,1 - 0,Crystal Palace
01-04-2023,Brighton,3 - 3,Brentford
04-04-2023,Bournemouth,0 - 2,Brighton
08-04-2023,Tottenham,2 - 1,Brighton
15-04-2023,Chelsea,1 - 2,Brighton
26-04-2023,Nott'm Forest,3 - 1,Brighton
29-04-2023,Brighton,6 - 0,Wolves
04-05-2023,Brighton,1 - 0,Man United
08-05-2023,Brighton,? - ?,Everton
06-08-2022,Everton,0 - 1,Chelsea
14-08-2022,Chelsea,2 - 2,Tottenham
21-08-2022,Leeds,3 - 0,Chelsea
27-08-2022,Chelsea,2 - 1,Leicester
30-08-2022,Southampton,2 - 1,Chelsea
03-09-2022,Chelsea,2 - 1,West Ham
01-10-2022,Crystal Palace,1 - 2,Chelsea
08-10-2022,Chelsea,3 - 0,Wolves
16-10-2022,Aston Villa,0 - 2,Chelsea
19-10-2022,Brentford,0 - 0,Chelsea
22-10-2022,Chelsea,1 - 1,Man United
29-10-2022,Brighton,4 - 1,Chelsea
06-11-2022,Chelsea,0 - 1,Arsenal
12-11-2022,Newcastle,1 - 0,Chelsea
27-12-2022,Chelsea,2 - 0,Bournemouth
01-01-2023,Nott'm Forest,1 - 1,Chelsea
05-01-2023,Chelsea,0 - 1,Man City
12-01-2023,Fulham,2 - 1,Chelsea
15-01-2023,Chelsea,1 - 0,Crystal Palace
21-01-2023,Liverpool,0 - 0,Chelsea
03-02-2023,Chelsea,0 - 0,Fulham
11-02-2023,West Ham,1 - 1,Chelsea
18-02-2023,Chelsea,0 - 1,Southampton
26-02-2023,Tottenham,2 - 0,Chelsea
04-03-2023,Chelsea,1 - 0,Leeds
11-03-2023,Leicester,1 - 3,Chelsea
18-03-2023,Chelsea,2 - 2,Everton
01-04-2023,Chelsea,0 - 2,Aston Villa
04-04-2023,Chelsea,0 - 0,Liverpool
08-04-2023,Wolves,1 - 0,Chelsea
15-04-2023,Chelsea,1 - 2,Brighton
26-04-2023,Chelsea,0 - 2,Brentford
02-05-2023,Arsenal,3 - 1,Chelsea
06-05-2023,Bournemouth,? - ?,Chelsea
05-08-2022,Crystal Palace,0 - 2,Arsenal
15-08-2022,Liverpool,1 - 1,Crystal Palace
20-08-2022,Crystal Palace,3 - 1,Aston Villa
27-08-2022,Man City,4 - 2,Crystal Palace
30-08-2022,Crystal Palace,1 - 1,Brentford
03-09-2022,Newcastle,0 - 0,Crystal Palace
01-10-2022,Crystal Palace,1 - 2,Chelsea
09-10-2022,Crystal Palace,2 - 1,Leeds
15-10-2022,Leicester,0 - 0,Crystal Palace
18-10-2022,Crystal Palace,2 - 1,Wolves
22-10-2022,Everton,3 - 0,Crystal Palace
29-10-2022,Crystal Palace,1 - 0,Southampton
06-11-2022,West Ham,1 - 2,Crystal Palace
12-11-2022,Nott'm Forest,1 - 0,Crystal Palace
26-12-2022,Crystal Palace,0 - 3,Fulham
31-12-2022,Bournemouth,0 - 2,Crystal Palace
04-01-2023,Crystal Palace,0 - 4,Tottenham
15-01-2023,Chelsea,1 - 0,Crystal Palace
18-01-2023,Crystal Palace,1 - 1,Man United
21-01-2023,Crystal Palace,0 - 0,Newcastle
04-02-2023,Man United,2 - 1,Crystal Palace
11-02-2023,Crystal Palace,1 - 1,Brighton
18-02-2023,Brentford,1 - 1,Crystal Palace
25-02-2023,Crystal Palace,0 - 0,Liverpool
04-03-2023,Aston Villa,1 - 0,Crystal Palace
11-03-2023,Crystal Palace,0 - 1,Man City
15-03-2023,Brighton,1 - 0,Crystal Palace
19-03-2023,Arsenal,4 - 1,Crystal Palace
01-04-2023,Crystal Palace,2 - 1,Leicester
09-04-2023,Leeds,1 - 5,Crystal Palace
15-04-2023,Southampton,0 - 2,Crystal Palace
22-04-2023,Crystal Palace,0 - 0,Everton
25-04-2023,Wolves,2 - 0,Crystal Palace
29-04-2023,Crystal Palace,4 - 3,West Ham
06-05-2023,Tottenham,? - ?,Crystal Palace
06-08-2022,Everton,0 - 1,Chelsea
13-08-2022,Aston Villa,2 - 1,Everton
20-08-2022,Everton,1 - 1,Nott'm Forest
27-08-2022,Brentford,1 - 1,Everton
30-08-2022,Leeds,1 - 1,Everton
03-09-2022,Everton,0 - 0,Liverpool
18-09-2022,Everton,1 - 0,West Ham
01-10-2022,Southampton,1 - 2,Everton
09-10-2022,Everton,1 - 2,Man United
15-10-2022,Tottenham,2 - 0,Everton
19-10-2022,Newcastle,1 - 0,Everton
22-10-2022,Everton,3 - 0,Crystal Palace
29-10-2022,Fulham,0 - 0,Everton
05-11-2022,Everton,0 - 2,Leicester
12-11-2022,Bournemouth,3 - 0,Everton
26-12-2022,Everton,1 - 2,Wolves
31-12-2022,Man City,1 - 1,Everton
03-01-2023,Everton,1 - 4,Brighton
14-01-2023,Everton,1 - 2,Southampton
21-01-2023,West Ham,2 - 0,Everton
04-02-2023,Everton,1 - 0,Arsenal
13-02-2023,Liverpool,2 - 0,Everton
18-02-2023,Everton,1 - 0,Leeds
25-02-2023,Everton,0 - 2,Aston Villa
01-03-2023,Arsenal,4 - 0,Everton
05-03-2023,Nott'm Forest,2 - 2,Everton
11-03-2023,Everton,1 - 0,Brentford
18-03-2023,Chelsea,2 - 2,Everton
03-04-2023,Everton,1 - 1,Tottenham
08-04-2023,Man United,2 - 0,Everton
15-04-2023,Everton,1 - 3,Fulham
22-04-2023,Crystal Palace,0 - 0,Everton
27-04-2023,Everton,1 - 4,Newcastle
01-05-2023,Leicester,2 - 2,Everton
08-05-2023,Brighton,? - ?,Everton
06-08-2022,Fulham,2 - 2,Liverpool
13-08-2022,Wolves,0 - 0,Fulham
20-08-2022,Fulham,3 - 2,Brentford
27-08-2022,Arsenal,2 - 1,Fulham
30-08-2022,Fulham,2 - 1,Brighton
03-09-2022,Tottenham,2 - 1,Fulham
16-09-2022,Nott'm Forest,2 - 3,Fulham
01-10-2022,Fulham,1 - 4,Newcastle
09-10-2022,West Ham,3 - 1,Fulham
15-10-2022,Fulham,2 - 2,Bournemouth
20-10-2022,Fulham,3 - 0,Aston Villa
23-10-2022,Leeds,2 - 3,Fulham
29-10-2022,Fulham,0 - 0,Everton
05-11-2022,Man City,2 - 1,Fulham
13-11-2022,Fulham,1 - 2,Man United
26-12-2022,Crystal Palace,0 - 3,Fulham
31-12-2022,Fulham,2 - 1,Southampton
03-01-2023,Leicester,0 - 1,Fulham
12-01-2023,Fulham,2 - 1,Chelsea
15-01-2023,Newcastle,1 - 0,Fulham
23-01-2023,Fulham,0 - 1,Tottenham
03-02-2023,Chelsea,0 - 0,Fulham
11-02-2023,Fulham,2 - 0,Nott'm Forest
18-02-2023,Brighton,0 - 1,Fulham
24-02-2023,Fulham,1 - 1,Wolves
06-03-2023,Brentford,3 - 2,Fulham
12-03-2023,Fulham,0 - 3,Arsenal
01-04-2023,Bournemouth,2 - 1,Fulham
08-04-2023,Fulham,0 - 1,West Ham
15-04-2023,Everton,1 - 3,Fulham
22-04-2023,Fulham,2 - 1,Leeds
25-04-2023,Aston Villa,1 - 0,Fulham
30-04-2023,Fulham,1 - 2,Man City
03-05-2023,Liverpool,1 - 0,Fulham
08-05-2023,Fulham,? - ?,Leicester
06-08-2022,Leeds,2 - 1,Wolves
13-08-2022,Southampton,2 - 2,Leeds
21-08-2022,Leeds,3 - 0,Chelsea
27-08-2022,Brighton,1 - 0,Leeds
30-08-2022,Leeds,1 - 1,Everton
03-09-2022,Brentford,5 - 2,Leeds
02-10-2022,Leeds,0 - 0,Aston Villa
09-10-2022,Crystal Palace,2 - 1,Leeds
16-10-2022,Leeds,0 - 1,Arsenal
20-10-2022,Leicester,2 - 0,Leeds
23-10-2022,Leeds,2 - 3,Fulham
29-10-2022,Liverpool,1 - 2,Leeds
05-11-2022,Leeds,4 - 3,Bournemouth
12-11-2022,Tottenham,4 - 3,Leeds
28-12-2022,Leeds,1 - 3,Man City
31-12-2022,Newcastle,0 - 0,Leeds
04-01-2023,Leeds,2 - 2,West Ham
13-01-2023,Aston Villa,2 - 1,Leeds
22-01-2023,Leeds,0 - 0,Brentford
05-02-2023,Nott'm Forest,1 - 0,Leeds
08-02-2023,Man United,2 - 2,Leeds
12-02-2023,Leeds,0 - 2,Man United
18-02-2023,Everton,1 - 0,Leeds
25-02-2023,Leeds,1 - 0,Southampton
04-03-2023,Chelsea,1 - 0,Leeds
11-03-2023,Leeds,2 - 2,Brighton
18-03-2023,Wolves,2 - 4,Leeds
01-04-2023,Arsenal,4 - 1,Leeds
04-04-2023,Leeds,2 - 1,Nott'm Forest
09-04-2023,Leeds,1 - 5,Crystal Palace
17-04-2023,Leeds,1 - 6,Liverpool
22-04-2023,Fulham,2 - 1,Leeds
25-04-2023,Leeds,1 - 1,Leicester
30-04-2023,Bournemouth,4 - 1,Leeds
06-05-2023,Man City,? - ?,Leeds
07-08-2022,Leicester,2 - 2,Brentford
13-08-2022,Arsenal,4 - 2,Leicester
20-08-2022,Leicester,1 - 2,Southampton
27-08-2022,Chelsea,2 - 1,Leicester
01-09-2022,Leicester,0 - 1,Man United
04-09-2022,Brighton,5 - 2,Leicester
17-09-2022,Tottenham,6 - 2,Leicester
03-10-2022,Leicester,4 - 0,Nott'm Forest
08-10-2022,Bournemouth,2 - 1,Leicester
15-10-2022,Leicester,0 - 0,Crystal Palace
20-10-2022,Leicester,2 - 0,Leeds
23-10-2022,Wolves,0 - 4,Leicester
29-10-2022,Leicester,0 - 1,Man City
05-11-2022,Everton,0 - 2,Leicester
12-11-2022,West Ham,0 - 2,Leicester
26-12-2022,Leicester,0 - 3,Newcastle
30-12-2022,Liverpool,2 - 1,Leicester
03-01-2023,Leicester,0 - 1,Fulham
14-01-2023,Nott'm Forest,2 - 0,Leicester
21-01-2023,Leicester,2 - 2,Brighton
04-02-2023,Aston Villa,2 - 4,Leicester
11-02-2023,Leicester,4 - 1,Tottenham
19-02-2023,Man United,3 - 0,Leicester
25-02-2023,Leicester,0 - 1,Arsenal
04-03-2023,Southampton,1 - 0,Leicester
11-03-2023,Leicester,1 - 3,Chelsea
18-03-2023,Brentford,1 - 1,Leicester
01-04-2023,Crystal Palace,2 - 1,Leicester
04-04-2023,Leicester,1 - 2,Aston Villa
08-04-2023,Leicester,0 - 1,Bournemouth
15-04-2023,Man City,3 - 1,Leicester
22-04-2023,Leicester,2 - 1,Wolves
25-04-2023,Leeds,1 - 1,Leicester
01-05-2023,Leicester,2 - 2,Everton
08-05-2023,Fulham,? - ?,Leicester
06-08-2022,Fulham,2 - 2,Liverpool
15-08-2022,Liverpool,1 - 1,Crystal Palace
22-08-2022,Man United,2 - 1,Liverpool
27-08-2022,Liverpool,9 - 0,Bournemouth
31-08-2022,Liverpool,2 - 1,Newcastle
03-09-2022,Everton,0 - 0,Liverpool
01-10-2022,Liverpool,3 - 3,Brighton
09-10-2022,Arsenal,3 - 2,Liverpool
16-10-2022,Liverpool,1 - 0,Man City
19-10-2022,Liverpool,1 - 0,West Ham
22-10-2022,Nott'm Forest,1 - 0,Liverpool
29-10-2022,Liverpool,1 - 2,Leeds
06-11-2022,Tottenham,1 - 2,Liverpool
12-11-2022,Liverpool,3 - 1,Southampton
26-12-2022,Aston Villa,1 - 3,Liverpool
30-12-2022,Liverpool,2 - 1,Leicester
02-01-2023,Brentford,3 - 1,Liverpool
14-01-2023,Brighton,3 - 0,Liverpool
21-01-2023,Liverpool,0 - 0,Chelsea
04-02-2023,Wolves,3 - 0,Liverpool
13-02-2023,Liverpool,2 - 0,Everton
18-02-2023,Newcastle,0 - 2,Liverpool
25-02-2023,Crystal Palace,0 - 0,Liverpool
01-03-2023,Liverpool,2 - 0,Wolves
05-03-2023,Liverpool,7 - 0,Man United
11-03-2023,Bournemouth,1 - 0,Liverpool
01-04-2023,Man City,4 - 1,Liverpool
04-04-2023,Chelsea,0 - 0,Liverpool
09-04-2023,Liverpool,2 - 2,Arsenal
17-04-2023,Leeds,1 - 6,Liverpool
22-04-2023,Liverpool,3 - 2,Nott'm Forest
26-04-2023,West Ham,1 - 2,Liverpool
30-04-2023,Liverpool,4 - 3,Tottenham
03-05-2023,Liverpool,1 - 0,Fulham
06-05-2023,Liverpool,? - ?,Brentford
07-08-2022,West Ham,0 - 2,Man City
13-08-2022,Man City,4 - 0,Bournemouth
21-08-2022,Newcastle,3 - 3,Man City
27-08-2022,Man City,4 - 2,Crystal Palace
31-08-2022,Man City,6 - 0,Nott'm Forest
03-09-2022,Aston Villa,1 - 1,Man City
17-09-2022,Wolves,0 - 3,Man City
02-10-2022,Man City,6 - 3,Man United
08-10-2022,Man City,4 - 0,Southampton
16-10-2022,Liverpool,1 - 0,Man City
22-10-2022,Man City,3 - 1,Brighton
29-10-2022,Leicester,0 - 1,Man City
05-11-2022,Man City,2 - 1,Fulham
12-11-2022,Man City,1 - 2,Brentford
28-12-2022,Leeds,1 - 3,Man City
31-12-2022,Man City,1 - 1,Everton
05-01-2023,Chelsea,0 - 1,Man City
14-01-2023,Man United,2 - 1,Man City
19-01-2023,Man City,4 - 2,Tottenham
22-01-2023,Man City,3 - 0,Wolves
05-02-2023,Tottenham,1 - 0,Man City
12-02-2023,Man City,3 - 1,Aston Villa
15-02-2023,Arsenal,1 - 3,Man City
18-02-2023,Nott'm Forest,1 - 1,Man City
25-02-2023,Bournemouth,1 - 4,Man City
04-03-2023,Man City,2 - 0,Newcastle
11-03-2023,Crystal Palace,0 - 1,Man City
01-04-2023,Man City,4 - 1,Liverpool
08-04-2023,Southampton,1 - 4,Man City
15-04-2023,Man City,3 - 1,Leicester
26-04-2023,Man City,4 - 1,Arsenal
30-04-2023,Fulham,1 - 2,Man City
03-05-2023,Man City,3 - 0,West Ham
06-05-2023,Man City,? - ?,Leeds
07-08-2022,Man United,1 - 2,Brighton
13-08-2022,Brentford,4 - 0,Man United
22-08-2022,Man United,2 - 1,Liverpool
27-08-2022,Southampton,0 - 1,Man United
01-09-2022,Leicester,0 - 1,Man United
04-09-2022,Man United,3 - 1,Arsenal
02-10-2022,Man City,6 - 3,Man United
09-10-2022,Everton,1 - 2,Man United
16-10-2022,Man United,0 - 0,Newcastle
19-10-2022,Man United,2 - 0,Tottenham
22-10-2022,Chelsea,1 - 1,Man United
30-10-2022,Man United,1 - 0,West Ham
06-11-2022,Aston Villa,3 - 1,Man United
13-11-2022,Fulham,1 - 2,Man United
27-12-2022,Man United,3 - 0,Nott'm Forest
31-12-2022,Wolves,0 - 1,Man United
03-01-2023,Man United,3 - 0,Bournemouth
14-01-2023,Man United,2 - 1,Man City
18-01-2023,Crystal Palace,1 - 1,Man United
22-01-2023,Arsenal,3 - 2,Man United
04-02-2023,Man United,2 - 1,Crystal Palace
08-02-2023,Man United,2 - 2,Leeds
12-02-2023,Leeds,0 - 2,Man United
19-02-2023,Man United,3 - 0,Leicester
05-03-2023,Liverpool,7 - 0,Man United
12-03-2023,Man United,0 - 0,Southampton
02-04-2023,Newcastle,2 - 0,Man United
05-04-2023,Man United,1 - 0,Brentford
08-04-2023,Man United,2 - 0,Everton
16-04-2023,Nott'm Forest,0 - 2,Man United
27-04-2023,Tottenham,2 - 2,Man United
30-04-2023,Man United,1 - 0,Aston Villa
04-05-2023,Brighton,1 - 0,Man United
07-05-2023,West Ham,? - ?,Man United
06-08-2022,Newcastle,2 - 0,Nott'm Forest
13-08-2022,Brighton,0 - 0,Newcastle
21-08-2022,Newcastle,3 - 3,Man City
28-08-2022,Wolves,1 - 1,Newcastle
31-08-2022,Liverpool,2 - 1,Newcastle
03-09-2022,Newcastle,0 - 0,Crystal Palace
17-09-2022,Newcastle,1 - 1,Bournemouth
01-10-2022,Fulham,1 - 4,Newcastle
08-10-2022,Newcastle,5 - 1,Brentford
16-10-2022,Man United,0 - 0,Newcastle
19-10-2022,Newcastle,1 - 0,Everton
23-10-2022,Tottenham,1 - 2,Newcastle
29-10-2022,Newcastle,4 - 0,Aston Villa
06-11-2022,Southampton,1 - 4,Newcastle
12-11-2022,Newcastle,1 - 0,Chelsea
26-12-2022,Leicester,0 - 3,Newcastle
31-12-2022,Newcastle,0 - 0,Leeds
03-01-2023,Arsenal,0 - 0,Newcastle
15-01-2023,Newcastle,1 - 0,Fulham
21-01-2023,Crystal Palace,0 - 0,Newcastle
04-02-2023,Newcastle,1 - 1,West Ham
11-02-2023,Bournemouth,1 - 1,Newcastle
18-02-2023,Newcastle,0 - 2,Liverpool
04-03-2023,Man City,2 - 0,Newcastle
12-03-2023,Newcastle,2 - 1,Wolves
17-03-2023,Nott'm Forest,1 - 2,Newcastle
02-04-2023,Newcastle,2 - 0,Man United
05-04-2023,West Ham,1 - 5,Newcastle
08-04-2023,Brentford,1 - 2,Newcastle
15-04-2023,Aston Villa,3 - 0,Newcastle
23-04-2023,Newcastle,6 - 1,Tottenham
27-04-2023,Everton,1 - 4,Newcastle
30-04-2023,Newcastle,3 - 1,Southampton
07-05-2023,Newcastle,? - ?,Arsenal
06-08-2022,Newcastle,2 - 0,Nott'm Forest
14-08-2022,Nott'm Forest,1 - 0,West Ham
20-08-2022,Everton,1 - 1,Nott'm Forest
28-08-2022,Nott'm Forest,0 - 2,Tottenham
31-08-2022,Man City,6 - 0,Nott'm Forest
03-09-2022,Nott'm Forest,2 - 3,Bournemouth
16-09-2022,Nott'm Forest,2 - 3,Fulham
03-10-2022,Leicester,4 - 0,Nott'm Forest
10-10-2022,Nott'm Forest,1 - 1,Aston Villa
15-10-2022,Wolves,1 - 0,Nott'm Forest
18-10-2022,Brighton,0 - 0,Nott'm Forest
22-10-2022,Nott'm Forest,1 - 0,Liverpool
30-10-2022,Arsenal,5 - 0,Nott'm Forest
05-11-2022,Nott'm Forest,2 - 2,Brentford
12-11-2022,Nott'm Forest,1 - 0,Crystal Palace
27-12-2022,Man United,3 - 0,Nott'm Forest
01-01-2023,Nott'm Forest,1 - 1,Chelsea
04-01-2023,Southampton,0 - 1,Nott'm Forest
14-01-2023,Nott'm Forest,2 - 0,Leicester
21-01-2023,Bournemouth,1 - 1,Nott'm Forest
05-02-2023,Nott'm Forest,1 - 0,Leeds
11-02-2023,Fulham,2 - 0,Nott'm Forest
18-02-2023,Nott'm Forest,1 - 1,Man City
25-02-2023,West Ham,4 - 0,Nott'm Forest
05-03-2023,Nott'm Forest,2 - 2,Everton
11-03-2023,Tottenham,3 - 1,Nott'm Forest
17-03-2023,Nott'm Forest,1 - 2,Newcastle
01-04-2023,Nott'm Forest,1 - 1,Wolves
04-04-2023,Leeds,2 - 1,Nott'm Forest
08-04-2023,Aston Villa,2 - 0,Nott'm Forest
16-04-2023,Nott'm Forest,0 - 2,Man United
22-04-2023,Liverpool,3 - 2,Nott'm Forest
26-04-2023,Nott'm Forest,3 - 1,Brighton
29-04-2023,Brentford,2 - 1,Nott'm Forest
08-05-2023,Nott'm Forest,? - ?,Southampton
06-08-2022,Tottenham,4 - 1,Southampton
13-08-2022,Southampton,2 - 2,Leeds
20-08-2022,Leicester,1 - 2,Southampton
27-08-2022,Southampton,0 - 1,Man United
30-08-2022,Southampton,2 - 1,Chelsea
03-09-2022,Wolves,1 - 0,Southampton
16-09-2022,Aston Villa,1 - 0,Southampton
01-10-2022,Southampton,1 - 2,Everton
08-10-2022,Man City,4 - 0,Southampton
16-10-2022,Southampton,1 - 1,West Ham
19-10-2022,Bournemouth,0 - 1,Southampton
23-10-2022,Southampton,1 - 1,Arsenal
29-10-2022,Crystal Palace,1 - 0,Southampton
06-11-2022,Southampton,1 - 4,Newcastle
12-11-2022,Liverpool,3 - 1,Southampton
26-12-2022,Southampton,1 - 3,Brighton
31-12-2022,Fulham,2 - 1,Southampton
04-01-2023,Southampton,0 - 1,Nott'm Forest
14-01-2023,Everton,1 - 2,Southampton
21-01-2023,Southampton,0 - 1,Aston Villa
